,PlayerName,Season,Position,Age,Team,OffensiveRating,DefensiveRating,RatingSum,scaledRatingSum
0,Russell Westbrook,2017,PG,28,OKC,97,91,181,95
1,James Harden,2017,PG,27,HOU,95,86,177,93
2,Kawhi Leonard,2017,SF,25,SAS,91,90,175,92
3,Giannis Antetokounmpo,2017,SF,22,MIL,89,92,174,91
4,Anthony Davis,2017,C,23,NOP,89,92,174,91
5,Kevin Durant,2017,PF,28,GSW,90,89,173,91
6,Jimmy Butler,2017,SF,27,CHI,90,88,172,90
7,LeBron James,2017,SF,32,CLE,92,84,172,90
8,DeMarcus Cousins,2017,C,26,NOP,89,89,171,89
9,Stephen Curry,2017,PG,28,GSW,91,84,170,89
10,Rudy Gobert,2017,C,24,UTA,84,93,170,89
11,Chris Paul,2017,PG,31,LAC,89,86,170,89
12,Draymond Green,2017,PF,26,GSW,81,96,169,88
13,John Wall,2017,PG,26,WAS,89,84,168,88
14,Karl-Anthony Towns,2017,C,21,MIN,90,81,167,87
15,Isaiah Thomas,2017,PG,27,BOS,93,76,167,87
16,Nikola Jokić,2017,C,21,DEN,88,83,166,86
17,Kyle Lowry,2017,PG,30,TOR,89,82,166,86
18,Mike Conley,2017,PG,29,MEM,89,82,166,86
19,Andre Drummond,2017,C,23,DET,81,91,165,86
20,Joel Embiid,2017,C,22,PHI,83,88,165,86
21,DeAndre Jordan,2017,C,28,LAC,83,88,165,86
22,Gordon Hayward,2017,SF,26,UTA,88,82,165,86
23,Marc Gasol,2017,C,32,MEM,85,85,165,86
24,DeMar DeRozan,2017,SG,27,TOR,89,79,164,85
25,Paul George,2017,SF,26,IND,85,83,164,85
26,Damian Lillard,2017,PG,26,POR,91,76,164,85
27,Kemba Walker,2017,PG,26,CHO,88,79,163,85
28,Blake Griffin,2017,PF,27,LAC,86,81,163,85
29,Myles Turner,2017,C,20,IND,81,88,163,85
30,Paul Millsap,2017,PF,31,ATL,82,86,163,85
31,Kyrie Irving,2017,PG,24,CLE,89,76,162,84
32,Dwight Howard,2017,C,31,ATL,81,86,162,84
33,Dwyane Wade,2017,SG,35,CHI,82,84,161,83
34,Otto Porter Jr.,2017,SF,23,WAS,82,84,161,83
35,Goran Dragić,2017,PG,30,MIA,85,80,161,83
36,James Johnson,2017,PF,29,MIA,81,85,161,83
37,Eric Bledsoe,2017,PG,27,PHO,85,80,161,83
38,Jeff Teague,2017,PG,28,IND,84,81,161,83
39,Al Horford,2017,C,30,BOS,82,84,161,83
40,Kevin Love,2017,PF,28,CLE,84,80,160,83
41,Nikola Vučević,2017,C,26,ORL,81,84,160,83
42,CJ McCollum,2017,SG,25,POR,86,76,160,83
43,LaMarcus Aldridge,2017,PF,31,SAS,82,83,160,83
44,Pau Gasol,2017,C,36,SAS,82,83,160,83
45,Bradley Beal,2017,SG,23,WAS,86,76,160,83
46,Mason Plumlee,2017,C,26,DEN,81,84,160,83
47,Trevor Ariza,2017,SF,31,HOU,79,85,159,82
48,Jrue Holiday,2017,PG,26,NOP,82,82,159,82
49,Tobias Harris,2017,PF,24,DET,82,81,159,82
